class,instancecount
ArchitecturalStructure,238431
Group,108217
SportsTeam,11425
ArtistDiscography,4852
CollegeCoach,10171
Legislature,2510
President,6772
ComicsCreator,3219
NascarDriver,1275
RadioStation,21378
RugbyPlayer,21349
Tunnel,760
Award,13265
AmusementParkAttraction,1544
Painting,2728
Name,4049
Engineer,7176
RailwayLine,5957
Library,2913
Theatre,851
Noble,6825
SpaceShuttle,21
Mill,798
Cemetery,1477
Arrondissement,813
Fern,695
Gene,12740
Medician,1180
Lock,245
BiologicalDatabase,409
PlayboyPlaymate,252
Moss,375
SportsSeason,78023
MedicalSpecialty,36
SpeedwayLeague,30
TimePeriod,1703779
CanadianFootballLeague,8
CricketLeague,9
BoardGame,7
Treadmill,3
SportCompetitionResult,34
Gnetophytes,1
BodyOfWater,42873
Lake,13374
Infrastructure,113078
Hospital,5964
BasketballTeam,2614
Person,1629932
Actor,34096
Wrestler,6961
Play,5251
SoccerLeague,2383
Restaurant,2045
Website,6394
UnitOfWork,3285
RecordLabel,5634
TopicalConcept,1761
Congressman,3141
Senator,1608
PlayWright,2154
Competition,9470
Monument,2151
GovernmentalAdministrativeRegion,785
MountainPass,1229
Saint,4950
Memorial,481
TradeUnion,2020
Regency,332
Biomolecule,20311
Standard,431
Sculpture,1598
Monarch,915
Artery,390
Cinema,147
VolleyballLeague,245
CelestialBody,11299
Archive,233
Taxon,132
BritishRoyalty,837
Athletics,50
Statistic,85
Diploma,21
Sales,13313
Parliament,161
InlineHockeyLeague,9
Windmill,94
Deputy,125
GolfLeague,38
TennisTournament,3687
GrandPrix,1594
MeanOfTransportation,62094
Place,964023
Album,160005
Horse,5945
Band,43605
Ship,34932
AdministrativeRegion,51176
EducationalInstitution,59739
TelevisionShow,48433
TelevisionEpisode,9847
Dog,299
SoccerPlayer,152473
WinterSportPlayer,28046
MilitaryPerson,34139
Road,28584
AustralianRulesFootballPlayer,13695
Language,11746
Animal,162055
Insect,118365
LegalCase,3266
Drama,4402
Host,1132
Priest,4645
VolleyballPlayer,4690
Stadium,7241
Dancer,2929
AdultActor,837
RouteOfTransportation,37296
LacrossePlayer,449
Canoeist,1108
MilitaryConflict,16524
Single,8353
PowerStation,6297
Olympics,6623
Province,2474
Temple,2605
HockeyTeam,2665
Opera,2539
Garden,1273
Surname,1634
Valley,1346
TableTennisPlayer,733
CricketTeam,956
Synagogue,664
HumanGene,12470
Contest,405
Database,979
File,181
Nerve,361
Murderer,350
Diocese,4017
Tax,192
NCAATeamSeason,26392
Continent,166
Election,19871
NaturalEvent,1322
NationalCollegiateAthleticAssociationAthlete,122
Profession,39
Boxing,4
YearInSpaceflight,72
Intercommunality,1
CityDistrict,8782
Artist,112169
Event,115403
TelevisionSeason,6294
Painter,18354
GridironFootballPlayer,24549
BasketballPlayer,17197
Cleric,23398
Royalty,17845
Architect,8849
RollerCoaster,827
Arena,1827
Organ,466
MilitaryStructure,5829
Fashion,569
Cave,1116
ComicsCharacter,3850
Presenter,2588
BusinessPerson,3888
PokerPlayer,723
Star,5113
Religious,2532
Bridge,6550
SiteOfSpecialScientificInterest,2225
ChessPlayer,2527
Novel,20072
Wine,282
Casino,219
RailwayStation,2348
Musical,1703
Altitude,19
CyclingTeam,801
Mollusca,22250
RaceTrack,360
ShoppingMall,2997
AustralianFootballTeam,670
Law,1636
RailwayTunnel,235
Mosque,931
SoccerTournament,10211
Polyhedron,159
Conifer,385
BaseballLeague,376
Planet,4776
Archaea,258
SumoWrestler,530
ComedyGroup,105
ResearchProject,19
ChristianPatriarch,43
Quote,4
Employer,12
Ginkgo,2
SoccerClubSeason,14833
MotorsportSeason,17872
BoxingLeague,3
Divorce,1
MilitaryService,9254
PoliticalFunction,99360
HistoricalEvent,1473
Mineral,2005
Municipality,33059
MusicalArtist,60698
FictionalCharacter,13250
Cartoon,5807
Writer,53729
Street,2119
BaseballPlayer,24215
Comedian,3325
Fencer,3784
VideoGame,23300
Swimmer,10835
Referee,1276
Historian,8569
Scientist,45541
College,6969
Population,135
Eukaryote,188312
Port,505
SocietalEvent,83392
Bird,8374
WorldHeritageSite,1005
Food,7337
Sport,1923
Journalist,14180
Boxer,7825
Astronaut,662
Bodybuilder,483
Governor,4223
FashionDesigner,841
Poem,2077
Letter,2614
RoadTunnel,332
Volcano,1301
Convention,3877
Arachnid,3146
TelevisionStation,9151
Reference,144
Engine,20240
Attack,548
Racecourse,339
SportFacility,1689
CultivatedVariety,2203
BusCompany,1693
GolfCourse,361
Media,274
RugbyLeague,741
Entomologist,1095
HandballTeam,495
IceHockeyLeague,335
Muscle,316
GreenAlga,153
Motorcycle,1512
Satellite,1300
MixedMartialArtsEvent,1420
AutomobileEngine,18677
VolleyballCoach,116
Polysaccharide,25
SportsTeamSeason,60151
Desert,64
PoloLeague,36
FootballLeagueSeason,18660
Unknown,9
Marriage,40
TennisLeague,30
MotorcycleRacingLeague,20
NationalFootballLeagueEvent,10
SoftballLeague,36
PersonFunction,317932
Tenure,250828
BowlingLeague,3
PopulatedPlace,574700
Village,277729
Tower,3600
PeriodicalLiterature,22965
SportsClub,27403
EthnicGroup,6045
Venue,13721
Locomotive,4485
MilitaryUnit,22639
Politician,193337
Curler,2156
SoapCharacter,2589
RacingDriver,5175
GolfPlayer,3709
TennisPlayer,2170
Judge,4800
Species,209813
Artwork,7936
Hotel,3263
Train,2930
ScreenWriter,2829
Chef,1306
FormulaOneRacer,802
ChristianBishop,8110
HorseRace,3050
RaceHorse,2929
Fish,10163
Model,6287
Monastery,2075
Psychologist,1572
MonoclonalAntibody,395
Brewery,951
AnatomicalStructure,4091
Embryology,187
BroadcastNetwork,1398
SpaceMission,3044
SubMunicipality,1966
Protein,11535
Colour,876
ClassicalMusicArtist,303
Bacteria,3642
Rocket,484
NetballPlayer,453
EurovisionSongContestEntry,1139
SpeedSkater,61
RoadJunction,251
WaterwayTunnel,26
CricketGround,250
SpaceStation,37
Deanery,29
Ligament,200
ClubMoss,8
AmericanFootballLeague,113
Depth,14
Pyramid,37
Identifier,372
Birth,11
Battery,19
SolarEclipse,370
MusicalWork,226754
Work,550479
Country,7088
River,30704
Region,54186
WrittenWork,77888
Bank,3824
Singer,17500
HandballPlayer,4041
Lawyer,12919
Genre,5597
Island,13025
SportsLeague,5740
Department,3083
Race,8657
Grape,509
Park,13645
Beach,665
Professor,11933
Rower,3293
Skier,5707
HorseTrainer,272
MemberOfParliament,1109
TelevisionHost,82
Jockey,1210
GaelicGamesPlayer,4114
Surfer,209
BadmintonPlayer,2604
ComicStrip,365
Crater,2624
FormerMunicipality,785
Bay,1481
Holiday,1585
TimeInterval,1402
Article,338
LawFirm,375
Currency,706
Sea,167
Abbey,369
Territory,1014
Meeting,883
Enzyme,7656
CombinationDrug,395
SportsTeamMember,382701
Decoration,626
ClassicalMusicComposition,682
Vein,249
Outbreak,461
BeachVolleyballPlayer,241
AmericanFootballTeam,41
Agglomeration,47
HorseRider,14
Manhua,13
MixedMartialArtsLeague,1
SnookerChamp,15
Asteroid,2623
NationalFootballLeagueSeason,3644
AutoRacingLeague,5
CareerStation,1450990
NaturalPlace,73157
Airline,4472
Building,127048
SoccerClub,24791
Software,36665
State,6741
MotorsportRacer,7292
SportsManager,24255
Linguist,1256
Mayor,4218
Museum,11432
Broadcaster,33211
FloweringPlant,457
SportsEvent,38910
HistoricPlace,34912
GovernmentAgency,6737
SupremeCourtOfTheUnitedStatesCase,3266
Manga,4318
BasketballLeague,510
Sculptor,4053
DartsPlayer,893
Egyptologist,203
RadioHost,399
SongWriter,2361
Criminal,4056
RadioProgram,1554
Castle,4405
Image,309
Drug,8278
Winery,571
FilmFestival,641
Ideology,135
Project,4209
Spacecraft,314
Fungus,9936
Anime,4861
Deity,1181
Amphibian,480
Cycad,93
Chancellor,540
VoiceActor,445
AcademicConference,89
Shrine,524
Manhwa,50
Watermill,55
LaunchPad,103
AustralianFootballLeague,3
Lipid,7
Demographics,1
Airport,16017
Agent,1894975
Organisation,362086
Device,34648
Company,84531
Station,83211
Stream,28115
Game,22001
Instrument,5922
Athlete,500601
Activity,15876
AmericanFootballPlayer,24549
ProtectedArea,11738
Plant,37726
Case,5395
Document,13627
MartialArtist,4368
ReligiousBuilding,7832
PrimeMinister,1133
Instrumentalist,181
Celebrity,114
ChemicalCompound,11613
Canal,824
Cheese,539
MusicGenre,1350
Beer,218
Skyscraper,1396
HistoricBuilding,11637
Prison,1821
ConcentrationCamp,146
Mine,1581
ProgrammingLanguage,1123
Atoll,229
CyclingRace,1154
Square,562
Flag,426
WineRegion,565
Aristocrat,720
FootballMatch,4622
Medicine,81
Camera,570
LacrosseLeague,66
Constellation,161
Galaxy,1908
Brain,542
Biathlete,605
Farmer,2296
Baronet,991
Lymph,76
Earthquake,961
MicroRegion,40
TopLevelDomain,372
BaseballSeason,266
AmericanFootballCoach,7
Caterer,8
Aircraft,11165
Settlement,532503
Locality,6056
City,30735
Mountain,26569
Weapon,7296
Lighthouse,2612
Parish,4612
Cyclist,14569
Coach,16186
IceHockeyPlayer,17217
Poet,12913
District,42687
Book,48304
FigureSkater,3825
SpeedwayRider,790
Capital,2183
Comic,7309
Publisher,4064
GivenName,3606
Photographer,4165
Guitarist,3558
Cricketer,31528
Church,14685
Sound,12331
Automobile,11875
Newspaper,11256
Cardinal,1879
InformationAppliance,1661
Crustacean,3084
Prefecture,165
SnookerPlayer,132
Humorist,146
WrestlingEvent,1466
Archipelago,229
HollywoodCartoon,515
Guitar,270
Vodka,49
AmateurBoxer,543
Archeologist,93
FormulaOneTeam,130
AnimangaCharacter,170
OrganisationMember,382701
Vicar,57
Ocean,397
CanadianFootballTeam,274
Death,50
ClericalAdministrativeRegion,3666
Lieutenant,373
HandballLeague,62
OfficeHolder,9
Swarm,6
Annotation,6
SnookerWorldRanking,34
Glacier,2632
Location,960200
Town,103439
ChemicalSubstance,20910
Film,145040
PublicTransitSystem,9269
Magazine,8941
School,46304
Economist,4222
MotorcycleRider,2117
SoccerManager,24255
Song,76785
Skater,5096
University,24296
Dam,6310
Reptile,1855
Tournament,24932
WomensTennisAssociationTournament,1103
Disease,8929
Producer,7257
Mammal,9756
Philosopher,5034
GolfTournament,2285
PoliticalParty,15004
Biologist,1723
BeautyQueen,2666
OlympicEvent,6518
Beverage,1130
AcademicJournal,8580
Bone,393
MythologicalFigure,726
Ambassador,904
Gymnast,3799
SkiArea,757
Archbishop,728
RugbyClub,2612
Zoo,412
Factory,404
MusicFestival,414
SquashPlayer,763
SpeedwayTeam,122
BaseballTeam,37
Year,3726
Pope,399
Gate,190
WaterRide,88
BullFighter,37
Rebellion,148
Vaccine,50
FieldHockeyLeague,94
VideogamesLeague,2
CurlingLeague,1
